Var.Lab,Rot.Padrão,Novo Rótulo,Coluna temporária,Nome Banco,Tipo de Dado,2013,2014,2015,2016,2017
ANO,NU_ANO_CENSO,Ano do Censo,0,ano_censo,INT,ANO_CENSO,ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO,NU_ANO_CENSO
CEBMA002N0,ID_MATRICULA,Código único da matrícula,0,id,INT,PK_COD_MATRICULA,PK_COD_MATRICULA,ID_MATRICULA,ID_MATRICULA,ID_MATRICULA
CEBMA003N0,CO_PESSOA_FISICA,Código do aluno (ID_INEP),0,cod_aluno,BIGINT,FK_COD_ALUNO,FK_COD_ALUNO,CO_PESSOA_FISICA,CO_PESSOA_FISICA,CO_PESSOA_FISICA
CEBMA004N0,NU_DIA,Data de nascimento do aluno - dia,0,nasc_dia,TINYINT,NU_DIA,NU_DIA,NU_DIA,NU_DIA,NU_DIA
CEBMA005N0,NU_MES,Data de nascimento do aluno - mês,0,nasc_mes,TINYINT,NU_MES,NU_MES,NU_MES,NU_MES,NU_MES
CEBMA006N0,NU_ANO,Data de nascimento do aluno - ano,0,nasc_ano,SMALLINT,NU_ANO,NU_ANO,NU_ANO,NU_ANO,NU_ANO
CEBMA007N0,NU_IDADE_REFERENCIA,Idade do aluno no mês de referência do Censo Escolar (31 de maio),0,idade_referencia,TINYINT,NUM_IDADE_REFERENCIA,NUM_IDADE_REFERENCIA,NU_IDADE_REFERENCIA,NU_IDADE_REFERENCIA,NU_IDADE_REFERENCIA
CEBMA008N0,NU_IDADE,Idade calculada pelo ano de nascimento do aluno,0,idade,TINYINT,NUM_IDADE,NUM_IDADE,NU_IDADE,NU_IDADE,NU_IDADE
CEBMA010N0,NU_DUR_ATIV_COMP_MESMA_REDE,Tempo de permanência (em minutos) na turma de Atividade Complementar na mesma rede da turma de escolarização,0,tempo_mesma_rede,INT,NU_DUR_ATIV_COMP_MESMA_REDE,NU_DUR_ATIV_COMP_MESMA_REDE,NU_DUR_ATIV_COMP_MESMA_REDE,NU_DUR_ATIV_COMP_MESMA_REDE,NU_DUR_ATIV_COMP_MESMA_REDE
CEBMA011N0,NU_DUR_ATIV_COMP_OUTRAS_REDES,Tempo de permanência (em minutos) na turma de Atividade Complementar em outras redes,0,tempo_outras_redes,INT,NU_DUR_ATIV_COMP_OUTRAS_REDES,NU_DUR_ATIV_COMP_OUTRAS_REDES,NU_DUR_ATIV_COMP_OUTRAS_REDES,NU_DUR_ATIV_COMP_OUTRAS_REDES,NU_DUR_ATIV_COMP_OUTRAS_REDES
CEBMA012N0,NU_DUR_AEE_MESMA_REDE,Tempo de permanência (em minutos) na turma de Atendimento Educacional Especializado (AEE) na mesma rede da turma de escolarização,0,tempo_aee_mesma_rede,INT,,NUM_DUR_AEE_MESMA_REDE,NU_DUR_AEE_MESMA_REDE,NU_DUR_AEE_MESMA_REDE,NU_DUR_AEE_MESMA_REDE
CEBMA013N0,NU_DUR_AEE_OUTRAS_REDES,Tempo de permanência (em minutos) na turma de Atendimento Educacional Especializado (AEE) em outras redes,0,tempo_aee_outras_redes,INT,,NUM_DUR_AEE_OUTRAS_REDES,NU_DUR_AEE_OUTRAS_REDES,NU_DUR_AEE_OUTRAS_REDES,NU_DUR_AEE_OUTRAS_REDES
CEBMA014N0,TP_SEXO,Sexo,0,sexo,TINYINT,"~CASE WHEN ""TP_SEXO""='m' OR ""TP_SEXO""='M' THEN 1 when ""TP_SEXO""='f' OR ""TP_SEXO""='F' THEN 2 END",TP_SEXO,TP_SEXO,TP_SEXO,TP_SEXO
CEBMA015N0,TP_COR_RACA,Cor/raça,0,cor_raca_id,TINYINT,TP_COR_RACA,TP_COR_RACA,TP_COR_RACA,TP_COR_RACA,TP_COR_RACA
CEBMA016N0,TP_NACIONALIDADE,Nacionalidade,0,nacionalidade,TINYINT,TP_NACIONALIDADE,TP_NACIONALIDADE,TP_NACIONALIDADE,TP_NACIONALIDADE,TP_NACIONALIDADE
CEBMA017N0,CO_PAIS_ORIGEM,Código do país de origem,0,cod_pais_origem,INT,FK_COD_PAIS_ORIGEM,FK_COD_PAIS_ORIGEM,CO_PAIS_ORIGEM,CO_PAIS_ORIGEM,CO_PAIS_ORIGEM
CEBMA018N0,CO_UF_NASC,Código da UF de nascimento,0,cod_estado_nasc,TINYINT,FK_COD_ESTADO_NASC,FK_COD_ESTADO_NASC,CO_UF_NASC,CO_UF_NASC,CO_UF_NASC
CEBMA019N0,SGL_UF_NASCIMENTO,Sigla da UF de nascimento,0,,,SGL_UF_NASCIMENTO,,,,
